HI81,pc_counter,gps_wn,gps_tow,ins_status,utc,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,temperature,pressure,od_vel,roll,pitch,yaw,quat_w,quat_x,quat_y,quat_z,solq_pos,solq_heading,nv,nv_heading,diff_age,pdop,hdop,undulation,ins_lat,ins_lon,ins_msl,ins_vel_e,ins_vel_n,ins_vel_u,acc_e,acc_n,acc_u,heave,surge,sway,heave_period,gnss_ant_status
HI81,109215,6579,23296,1,4294880878,-0.0004982448883,-0.001992979553,1.002468715,0,0,0,-12.450936,-4.699618,-14.556609,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109216,6579,23296,1,4294880878,-0.0009964897765,-0.00298946933,0.9964897765,0,0.1145915604,0,-12.542487,-4.547033,-14.770228,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109217,6579,23296,1,4294880878,0.0009964897765,-0.002491224441,1.00296696,0,-0.05729578018,0,-12.542487,-4.516516,-14.64816,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109218,6579,23296,1,4294880878,-0.001494734665,-0.003487714218,0.9979845112,0,0.05729578018,0,-12.542487,-4.516516,-14.678677,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109219,6579,23296,1,4294880878,0.001494734665,-0.001494734665,1.003465205,0,0.05729578018,0,-12.695072,-4.638584,-14.404024,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109220,6579,23296,1,4294880878,0,-0.003487714218,0.9984827561,-0.05729578018,0,0,-12.878174,-4.852203,-14.220922,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109221,6579,23296,1,4294880878,-0.001992979553,-0.00298946933,0.998981001,-0.05729578018,0.1718873405,0,-12.51197,-5.096339,-14.64816,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109222,6579,23296,1,4294880878,0,-0.00298946933,0.9999774907,0.05729578018,0,0,-12.756106,-4.943754,-14.64816,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109223,6579,23296,1,4294880878,-0.001494734665,-0.003985959106,0.9979845112,0,0.1718873405,0,-12.51197,-4.821686,-14.526092,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109224,6579,23296,1,4294880878,0.0004982448883,-0.001992979553,1.00197047,0,-0.05729578018,0.05729578018,-12.542487,-4.852203,-14.95333,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
