HI81,pc_counter,gps_wn,gps_tow,ins_status,utc,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,temperature,pressure,od_vel,roll,pitch,yaw,quat_w,quat_x,quat_y,quat_z,solq_pos,solq_heading,nv,nv_heading,diff_age,pdop,hdop,undulation,ins_lat,ins_lon,ins_msl,ins_vel_e,ins_vel_n,ins_vel_u,acc_e,acc_n,acc_u,heave,surge,sway,heave_period,gnss_ant_status
HI81,608358,6579,23296,1,4294880878,-0.01295436709,0.0084701631,0.9979845112,0,0,0,-19.195193,-17.69986,-7.903903,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608359,6579,23296,1,4294880878,-0.01444910176,0.009466652877,0.998981001,0,0.2291831207,0,-19.195193,-17.821928,-7.995454,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608360,6579,23296,1,4294880878,-0.01145963243,0.009466652877,1.001472225,0,-0.1145915604,0,-19.22571,-17.913479,-7.781835,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608361,6579,23296,1,4294880878,-0.01644208131,0.009466652877,0.9979845112,0,0.1718873405,0,-19.347778,-17.821928,-7.507182,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608362,6579,23296,1,4294880878,-0.01195787732,0.01145963243,1.003465205,0,-0.05729578018,0,-19.164676,-17.760894,-7.995454,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608363,6579,23296,1,4294880878,-0.01594383642,0.007971918212,0.9969880214,0,0.1145915604,0,-19.195193,-17.882962,-7.93442,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608364,6579,23296,1,4294880878,-0.01395085687,0.009964897765,1.003465205,0,-0.05729578018,0,-18.828989,-17.577792,-7.446148,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608365,6579,23296,1,4294880878,-0.01395085687,0.009964897765,0.9994792459,0,0,0,-18.340717,-17.913479,-7.507182,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608366,6579,23296,1,4294880878,-0.01444910176,0.008968407989,1.000973981,0,0.1145915604,0.05729578018,-18.890023,-17.821928,-7.507182,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608367,6579,23296,1,4294880878,-0.01295436709,0.0084701631,1.000973981,0,0,0,-19.012091,-17.547275,-7.385114,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608368,6579,23296,1,4294880878,-0.01644208131,0.009466652877,0.9984827561,0,0.1718873405,0.05729578018,-19.012091,-17.638826,-7.659767,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608369,6579,23296,1,4294880878,-0.01345261198,0.008968407989,1.00197047,0,-0.05729578018,0,-19.500363,-18.035547,-7.202012,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608370,6579,23296,1,4294880878,-0.01494734665,0.008968407989,0.9979845112,0,0.05729578018,0,-18.951057,-17.913479,-7.263046,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608371,6579,23296,1,4294880878,-0.01295436709,0.007971918212,1.001472225,0,0,0,-18.432268,-17.913479,-7.507182,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608372,6579,23296,1,4294880878,-0.01444910176,0.006975428436,0.9969880214,0,0,0,-18.249166,-17.577792,-6.957876,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608373,6579,23296,1,4294880878,-0.01395085687,0.008968407989,1.00197047,0,0,0,-18.737438,-17.913479,-7.781835,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608374,6579,23296,1,4294880878,-0.01345261198,0.0084701631,1.000475736,0,0,0,-19.195193,-17.638826,-7.507182,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608375,6579,23296,1,4294880878,-0.01444910176,0.0084701631,1.000475736,0,0.1718873405,0,-19.286744,-17.638826,-7.598733,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608376,6579,23296,1,4294880878,-0.01195787732,0.007971918212,1.000475736,0,0,0,-19.317261,-17.669343,-7.263046,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608377,6579,23296,1,4294880878,-0.01494734665,0.008968407989,0.9999774907,0,0.05729578018,0,-19.012091,-17.913479,-7.293563,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608378,6579,23296,1,4294880878,-0.01345261198,0.009964897765,0.9984827561,0,0,0,-19.103642,-17.486241,-7.781835,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608379,6579,23296,1,4294880878,-0.01444910176,0.0084701631,0.9994792459,0,0.05729578018,0,-18.584853,-17.943996,-7.537699,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
