$GNIMU,513260,0.015,0.646,0.739,0.10,-0.07,-0.02,0.00
$GNIMU,513270,0.015,0.646,0.740,-0.01,-0.07,0.00,0.00
$GNIMU,513280,0.014,0.643,0.740,0.02,-0.11,0.02,0.00
$GNIMU,513290,0.015,0.646,0.738,0.08,-0.10,-0.02,0.00
$GNIMU,513300,0.016,0.644,0.737,0.17,-0.03,-0.04,0.00
$GNIMU,513310,0.016,0.646,0.740,0.00,-0.04,0.01,0.00
$GNIMU,513320,0.017,0.646,0.739,0.08,-0.05,-0.01,0.00
$GNPVT,513330,1,30,39.9056582,116.4573566,126.109,0.028,0.035,-0.034,2.95,2.73,10.51,0.05,0.05,0.06
$GNIMU,513330,0.015,0.646,0.740,0.04,-0.11,-0.08,0.00
$GNIMU,513340,0.016,0.644,0.737,0.18,0.01,-0.08,0.00
$GNIMU,513350,0.015,0.643,0.735,0.14,-0.03,-0.03,0.00
$GNIMU,513360,0.016,0.644,0.738,-0.06,-0.05,-0.07,0.00
$GNIMU,513370,0.015,0.645,0.740,-0.01,-0.05,-0.02,0.00
$GNIMU,513380,0.015,0.642,0.738,0.08,-0.18,0.01,0.00
$GNIMU,513390,0.016,0.644,0.737,0.04,-0.15,-0.02,0.00
$GNIMU,513400,0.017,0.646,0.737,0.06,-0.11,-0.04,0.00
$GNIMU,513410,0.015,0.646,0.740,0.13,0.00,0.05,0.00
$GNPVT,513420,1,30,39.9056581,116.4573566,126.098,0.014,0.032,-0.047,2.95,2.73,10.51,0.06,0.06,0.07
$GNIMU,513420,0.016,0.645,0.740,0.21,-0.07,0.03,0.00
$GNIMU,513430,0.014,0.645,0.739,0.20,-0.11,-0.08,0.00
$GNIMU,513440,0.014,0.644,0.740,0.05,-0.06,-0.03,0.00
$GNIMU,513450,0.014,0.646,0.740,-0.08,-0.02,-0.08,0.00
$GNIMU,513460,0.016,0.646,0.740,0.02,0.00,0.05,0.00
$GNIMU,513470,0.016,0.646,0.739,0.11,-0.07,-0.02,0.00
$GNIMU,513480,0.015,0.642,0.735,0.17,-0.05,-0.03,0.00
$GNIMU,513490,0.016,0.645,0.739,0.00,-0.01,-0.05,0.00
$GNIMU,513500,0.016,0.646,0.738,-0.04,-0.09,-0.07,0.00
$GNIMU,513510,0.015,0.645,0.740,0.11,-0.05,0.05,0.00
$GNPVT,513520,1,31,39.9056581,116.4573567,126.097,0.015,0.032,-0.037,2.95,2.73,10.51,0.06,0.05,0.07
$GNIMU,513520,0.015,0.645,0.737,0.11,-0.02,0.02,0.00
$GNIMU,513530,0.015,0.645,0.736,0.09,-0.03,-0.02,0.00
$GNIMU,513540,0.014,0.643,0.739,-0.01,0.02,-0.06,0.00
$GNIMU,513550,0.014,0.646,0.740,0.00,-0.04,0.02,0.00
$GNIMU,513560,0.015,0.646,0.739,0.13,-0.02,-0.07,0.00
$GNIMU,513570,0.015,0.644,0.740,0.05,-0.11,-0.08,0.00
$GNIMU,513580,0.015,0.644,0.738,0.07,-0.07,-0.03,0.00
$GNIMU,513590,0.016,0.644,0.740,0.08,-0.11,-0.04,0.00
$GNIMU,513600,0.014,0.646,0.738,-0.06,-0.13,0.05,0.00
$GNIMU,513610,0.017,0.646,0.741,-0.01,-0.04,-0.04,0.00
$GNPVT,513620,1,31,39.9056580,116.4573567,126.091,0.011,0.026,-0.036,2.96,2.73,10.53,0.06,0.05,0.06
$GNIMU,513620,0.015,0.645,0.740,0.13,-0.06,-0.07,0.00
$GNIMU,513630,0.014,0.645,0.738,0.12,-0.05,-0.03,0.00
$GNIMU,513640,0.015,0.643,0.738,0.07,-0.10,-0.03,0.00
$GNIMU,513650,0.015,0.646,0.737,0.02,-0.11,0.02,0.00
$GNIMU,513660,0.013,0.646,0.740,0.00,-0.07,-0.04,0.00
$GNIMU,513670,0.016,0.646,0.740,0.04,-0.17,0.00,0.00
$GNIMU,513680,0.015,0.646,0.740,0.02,-0.15,0.00,0.00
$GNIMU,513690,0.014,0.646,0.738,-0.02,-0.11,-0.02,0.00
$GNIMU,513700,0.015,0.645,0.739,0.03,-0.12,-0.09,0.00
$GNIMU,513710,0.015,0.645,0.737,0.02,-0.03,-0.05,0.00
$GNPVT,513720,1,29,39.9056579,116.4573567,126.084,0.014,0.021,-0.034,2.95,2.73,10.52,0.05,0.05,0.06
$GNIMU,513720,0.015,0.643,0.740,0.05,-0.09,-0.04,0.00
$GNIMU,513730,0.015,0.645,0.739,0.12,-0.12,-0.05,0.00
$GNIMU,513740,0.015,0.642,0.740,0.10,-0.06,-0.01,0.00
$GNIMU,513750,0.016,0.641,0.736,0.17,-0.15,-0.01,0.00
