Time,GyoCalibratedX, GyoCalibratedY, GyoCalibratedZ,MagCalibratedX, MagCalibratedY, MagCalibratedZ
15-12-11.207,-12,9,-77,137,-13,-213
15-12-11.217,-4,-8,-356,138,-13,-216
15-12-11.227,-37,9,-70,138,-13,-215
15-12-11.237,-11,-12,-201,138,-12,-213
15-12-11.247,-284,136,-122,138,-11,-216
15-12-11.257,-172,276,-73,138,-10,-213
15-12-11.267,322,731,-201,140,-10,-212
15-12-11.277,220,88,-410,142,-10,-210
15-12-11.287,-96,-331,-209,140,-10,-210
15-12-11.297,-145,-392,-93,137,-10,-210
15-12-11.307,-7,-466,-69,136,-10,-210
15-12-11.317,-48,-325,163,134,-10,-208
15-12-11.327,-313,-392,287,132,-10,-210
15-12-11.337,-324,-296,338,131,-10,-210
15-12-11.347,-326,-288,336,127,-9,-210
15-12-11.357,-301,-215,307,126,-9,-209
15-12-11.367,-268,-136,248,126,-8,-208
15-12-11.377,-211,-148,189,126,-8,-207
15-12-11.387,-154,-151,135,123,-7,-204
15-12-11.397,-170,-170,127,122,-7,-205
15-12-11.409,-137,-185,121,120,-6,-203
15-12-11.417,-35,-187,119,118,-5,-204
15-12-11.427,66,-156,67,118,-5,-200
15-12-11.437,162,-118,80,116,-5,-202
15-12-11.447,243,-91,63,115,-5,-201
15-12-11.456,228,-88,38,115,-5,-200
15-12-11.465,114,-76,-36,114,-4,-199
15-12-11.477,26,-118,-26,114,-3,-202
15-12-11.487,-43,-132,-29,114,-3,-199
15-12-11.496,-54,-162,-31,112,0,-200
15-12-11.506,-59,-177,-36,112,0,-198
15-12-11.515,-54,-187,-58,111,1,-198
15-12-11.526,-117,-218,-77,111,1,-198
15-12-11.536,-74,-207,-99,110,3,-199
15-12-11.545,-22,-169,-136,110,5,-197
15-12-11.556,98,-131,-121,109,7,-201
15-12-11.566,207,-30,-80,109,8,-201
15-12-11.576,258,-26,-65,107,9,-201
15-12-11.585,139,-20,-64,110,10,-200
15-12-11.596,-16,-40,-101,109,10,-200
15-12-11.606,-60,-54,-108,110,12,-200
15-12-11.616,-94,-49,-95,109,14,-203
15-12-11.625,-49,-79,-78,110,15,-203
15-12-11.636,12,-117,-111,109,17,-204
15-12-11.646,-19,-141,-122,109,19,-202
15-12-11.656,16,-140,-151,106,20,-205
15-12-11.666,100,-116,-168,107,22,-204
15-12-11.678,186,-101,-136,106,23,-206
15-12-11.686,205,-94,-95,107,25,-204
15-12-11.696,197,-89,-45,104,25,-204
15-12-11.708,128,-62,-11,105,25,-204
15-12-11.716,95,-36,10,104,27,-205
15-12-11.726,95,-38,14,104,27,-203
15-12-11.736,98,-83,19,101,27,-206
15-12-11.746,83,-101,20,103,28,-204
15-12-11.756,153,-88,-10,102,29,-207
15-12-11.766,242,-73,-45,102,30,-207
15-12-11.776,229,-76,-70,103,30,-210
15-12-11.786,208,-78,-62,101,30,-206
15-12-11.796,204,-65,-38,100,30,-207
15-12-11.806,174,-52,7,99,31,-209
15-12-11.816,204,-31,21,99,31,-210
15-12-11.826,211,-32,38,98,31,-210
15-12-11.836,125,-58,79,98,31,-210
15-12-11.846,-12,-36,76,98,32,-213
15-12-11.856,-117,-4,27,99,33,-213
15-12-11.866,-106,6,25,98,33,-214
15-12-11.876,-155,14,66,97,35,-213
15-12-11.886,-131,46,63,100,35,-214
15-12-11.896,-95,49,7,98,36,-214
15-12-11.906,-84,22,-13,98,38,-216
15-12-11.916,-117,-37,7,98,38,-216
15-12-11.926,-68,-51,36,98,39,-216
15-12-11.936,25,-74,69,100,40,-218
15-12-11.946,174,-77,107,98,40,-217
15-12-11.956,246,-58,55,100,40,-217
15-12-11.966,210,-70,-11,99,39,-219
15-12-11.976,-148,-102,-60,99,40,-221
15-12-11.986,-251,-179,-24,99,40,-222
15-12-11.996,-137,-176,60,98,42,-221
15-12-12.006,-62,-144,74,98,44,-224
15-12-12.016,-18,-112,41,97,44,-224
15-12-12.027,-6,-81,12,97,45,-223
15-12-12.037,53,-72,22,98,46,-227
15-12-12.047,80,-65,49,97,46,-225
15-12-12.057,198,-73,41,98,46,-227
15-12-12.066,298,-66,19,98,46,-227
15-12-12.076,385,-29,1,97,46,-229
15-12-12.086,321,-29,6,99,46,-230
15-12-12.095,261,-15,14,99,44,-233
15-12-12.106,258,-2,-5,99,45,-233
15-12-12.115,116,-20,0,101,44,-232
15-12-12.126,133,-33,36,100,44,-236
15-12-12.136,234,-8,41,100,44,-236
15-12-12.145,351,23,9,101,43,-235
15-12-12.157,516,55,-9,101,43,-236
15-12-12.167,531,72,-2,101,41,-242
15-12-12.176,293,25,38,102,40,-242
15-12-12.185,235,-4,104,104,40,-242
15-12-12.196,185,-16,123,103,39,-244
15-12-12.206,196,8,167,103,39,-244
15-12-12.215,217,71,171,103,39,-246
15-12-12.226,238,140,123,106,38,-248
15-12-12.235,7,188,76,105,38,-248
15-12-12.246,-102,235,100,107,38,-251
15-12-12.256,-149,262,148,107,38,-251
15-12-12.265,-94,237,157,110,38,-251
15-12-12.276,-29,227,90,111,40,-253
15-12-12.286,123,254,-77,113,40,-254
15-12-12.296,289,260,-184,114,40,-253
15-12-12.306,313,275,-230,116,39,-252
15-12-12.316,308,276,-200,117,39,-254
15-12-12.326,328,276,-113,120,38,-256
15-12-12.336,280,282,-32,120,37,-256
15-12-12.346,247,260,4,123,36,-256
15-12-12.356,52,205,32,124,35,-258
15-12-12.365,-57,202,33,125,36,-256
15-12-12.376,-38,240,-66,126,36,-259
15-12-12.386,31,286,-135,129,37,-259
15-12-12.395,138,330,-158,129,37,-256
15-12-12.409,173,319,-152,132,37,-257
15-12-12.417,72,260,-110,133,36,-256
15-12-12.427,-181,208,-58,134,37,-258
15-12-12.437,-248,246,-41,136,37,-256
15-12-12.447,-192,306,-48,138,39,-256
15-12-12.457,-189,285,-18,139,39,-256
15-12-12.467,-126,291,24,141,41,-257
15-12-12.477,-154,276,24,142,42,-256
15-12-12.487,-89,242,-19,145,43,-257
15-12-12.497,55,198,-99,146,43,-254
15-12-12.507,150,173,-125,146,43,-255
15-12-12.517,150,190,-160,148,43,-257
15-12-12.527,87,223,-174,148,43,-255
15-12-12.537,102,296,-221,149,43,-256
15-12-12.547,153,323,-239,151,44,-254
15-12-12.557,-6,289,-174,154,44,-258
15-12-12.567,-206,167,-61,155,44,-255
15-12-12.577,-332,45,18,155,46,-258
15-12-12.587,-330,-43,40,154,47,-256
15-12-12.597,-336,-114,72,154,48,-255
15-12-12.607,-285,-139,91,154,49,-257
15-12-12.617,-209,-152,85,154,51,-258
15-12-12.627,-152,-151,55,154,52,-259
15-12-12.637,-73,-149,35,152,53,-258
15-12-12.647,-9,-144,-44,152,53,-259
15-12-12.657,82,-139,-104,153,53,-260
15-12-12.667,48,-159,-77,152,52,-262
15-12-12.677,-89,-188,2,151,52,-261
15-12-12.687,-151,-184,51,152,53,-263
15-12-12.697,-125,-126,96,150,53,-260
15-12-12.709,-130,-72,143,149,54,-263
15-12-12.717,-128,-50,168,150,54,-263
15-12-12.727,-123,-40,153,150,54,-265
15-12-12.737,-66,20,98,149,55,-260
15-12-12.747,-6,20,20,151,55,-261
15-12-12.757,-64,14,4,150,55,-261
15-12-12.767,-107,31,0,151,54,-259
15-12-12.777,-114,-19,78,151,55,-262
15-12-12.787,-117,-11,87,151,56,-260
15-12-12.796,-82,5,101,151,56,-260
15-12-12.806,-111,0,110,150,56,-261
15-12-12.816,-125,-7,99,151,55,-259
15-12-12.826,-136,-10,60,151,56,-261
