Time,GyoCalibratedX, GyoCalibratedY, GyoCalibratedZ,MagCalibratedX, MagCalibratedY, MagCalibratedZ
15-12-15.627,-1147,-488,-720,240,-12,-166
15-12-15.637,-1486,-433,-870,238,-7,-169
15-12-15.644,-1423,-362,-1020,238,-1,-172
15-12-15.656,-1335,-297,-1125,235,6,-172
15-12-15.666,-1228,-318,-1144,235,14,-172
15-12-15.675,-1012,-452,-1062,232,22,-175
15-12-15.685,-729,-638,-979,231,28,-174
15-12-15.696,-142,-895,-923,228,35,-175
15-12-15.705,393,-1178,-874,225,39,-180
15-12-15.717,1184,-1402,-879,222,41,-183
15-12-15.727,1877,-1534,-785,217,41,-186
15-12-15.736,2108,-1639,-642,211,38,-192
15-12-15.746,2318,-1671,-583,205,34,-198
15-12-15.756,2338,-1595,-534,200,27,-203
15-12-15.766,2465,-1555,-461,194,20,-211
15-12-15.776,2157,-1444,-376,188,12,-216
15-12-15.785,2074,-1324,-483,182,5,-221
15-12-15.796,2111,-1094,-652,179,-1,-225
15-12-15.805,1958,-1026,-758,174,-8,-229
15-12-15.816,1931,-1007,-835,171,-15,-228
15-12-15.826,1717,-1127,-913,166,-20,-234
15-12-15.836,1430,-1105,-911,163,-25,-234
15-12-15.846,1081,-846,-811,160,-29,-238
15-12-15.856,680,-497,-647,156,-31,-241
15-12-15.865,354,-331,-548,155,-33,-241
15-12-15.877,-35,-217,-461,154,-34,-244
15-12-15.887,-754,-116,-306,153,-32,-245
15-12-15.895,-1575,2,-157,153,-28,-248
15-12-15.904,-2183,161,-49,154,-21,-251
15-12-15.916,-2690,301,84,154,-13,-253
15-12-15.925,-3212,349,273,154,-1,-254
15-12-15.936,-3671,269,507,154,11,-251
15-12-15.944,-3888,309,665,157,25,-252
15-12-15.956,-3909,305,702,157,39,-246
15-12-15.965,-4264,213,757,157,53,-246
15-12-15.976,-4827,113,826,159,69,-240
15-12-15.986,-4682,102,681,160,86,-230
15-12-15.994,-3993,226,426,160,100,-224
15-12-16.006,-3561,318,273,161,114,-213
15-12-16.016,-3136,414,156,163,125,-206
15-12-16.026,-2820,458,91,164,135,-199
15-12-16.036,-2643,467,53,165,144,-188
15-12-16.046,-3262,315,56,165,152,-179
15-12-16.055,-3671,183,51,167,161,-168
15-12-16.067,-3571,121,-7,164,170,-157
15-12-16.077,-3089,132,-71,165,179,-146
15-12-16.086,-2360,150,-110,165,185,-135
15-12-16.096,-1648,86,-125,164,190,-125
15-12-16.106,-1212,-36,-114,163,194,-118
15-12-16.115,-966,-169,-101,163,195,-118
15-12-16.127,-323,-212,-77,161,198,-115
15-12-16.137,629,-173,-64,161,198,-114
15-12-16.146,1347,-126,-79,160,197,-116
15-12-16.155,1799,-72,-102,161,194,-123
15-12-16.166,2086,-35,-129,160,190,-128
15-12-16.176,2562,53,-173,159,185,-136
15-12-16.185,3293,143,-234,160,179,-143
15-12-16.197,3957,196,-311,160,170,-152
15-12-16.207,4221,108,-389,160,170,-152
15-12-16.216,3852,-41,-401,160,160,-162
15-12-16.226,3495,-173,-371,160,149,-175
15-12-16.235,3397,-250,-360,159,139,-187
15-12-16.246,3314,-355,-329,159,128,-195
15-12-16.256,3498,-460,-326,156,118,-204
15-12-16.265,3725,-561,-298,155,106,-210
15-12-16.276,3735,-665,-208,153,93,-218
15-12-16.285,4392,-648,-242,151,79,-224
15-12-16.297,4641,-483,-300,148,64,-229
15-12-16.305,5049,-387,-456,147,46,-233
15-12-16.317,5192,-371,-513,146,25,-237
15-12-16.327,5132,-292,-505,145,5,-237
15-12-16.335,4760,-168,-431,145,-15,-240
15-12-16.347,4237,-68,-253,147,-34,-242
15-12-16.357,3739,48,-158,147,-52,-238
15-12-16.366,3513,121,-135,148,-68,-236
15-12-16.375,3434,169,-69,150,-82,-227
15-12-16.386,3322,202,75,150,-95,-221
15-12-16.396,3333,199,174,152,-108,-214
15-12-16.408,3388,163,224,152,-121,-209
15-12-16.416,3232,122,251,151,-133,-200
15-12-16.426,2643,85,248,154,-145,-189
15-12-16.436,1554,6,211,153,-155,-183
15-12-16.446,745,-181,188,151,-160,-181
15-12-16.456,-51,-405,160,151,-163,-181
15-12-16.466,-818,-683,134,148,-164,-184
15-12-16.476,-1314,-995,145,146,-160,-188
15-12-16.486,-1870,-1276,182,141,-158,-194
15-12-16.497,-1995,-1548,154,135,-152,-200
15-12-16.505,-1495,-1801,204,129,-146,-210
15-12-16.515,-1358,-2020,332,121,-141,-216
15-12-16.527,-1475,-2232,450,110,-137,-223
15-12-16.537,-1580,-2421,524,99,-134,-230
15-12-16.545,-1721,-2594,506,86,-128,-240
15-12-16.557,-2025,-2770,469,73,-122,-246
15-12-16.565,-2491,-2980,437,58,-115,-257
15-12-16.575,-2944,-3149,347,42,-105,-265
15-12-16.585,-3095,-3188,218,26,-93,-272
15-12-16.599,-3014,-3139,85,8,-80,-277
15-12-16.607,-2889,-2925,53,-8,-67,-281
15-12-16.615,-2984,-2683,71,-21,-55,-280
15-12-16.627,-3082,-2392,182,-35,-41,-280
15-12-16.637,-3136,-2024,358,-48,-27,-281
15-12-16.647,-2916,-1536,558,-58,-13,-282
15-12-16.655,-2847,-1059,822,-66,0,-281
15-12-16.665,-2984,-594,1051,-70,13,-277
15-12-16.675,-3123,-201,1122,-72,28,-276
15-12-16.687,-3463,141,1142,-72,45,-275
15-12-16.695,-3837,315,1137,-70,61,-272
15-12-16.707,-3898,402,1128,-67,81,-269
15-12-16.717,-3789,523,1094,-57,99,-260
15-12-16.725,-3795,613,1144,-58,116,-255
15-12-16.737,-3796,750,1182,-54,133,-245
15-12-16.747,-3568,920,1279,-47,149,-235
15-12-16.755,-2732,1225,1374,-39,164,-223
15-12-16.767,-1589,1559,1510,-29,175,-215
15-12-16.775,-507,1971,1636,-17,181,-210
15-12-16.785,374,2400,1693,-1,182,-207
15-12-16.797,911,2650,1650,14,182,-210
15-12-16.807,1025,2785,1512,31,179,-210
15-12-16.817,1514,2581,1339,46,175,-212
15-12-16.827,1695,2453,1103,60,168,-217
15-12-16.836,1963,2400,931,73,162,-219
15-12-16.848,2401,2390,795,85,154,-223
15-12-16.856,2858,2363,744,85,154,-223
15-12-16.866,3250,2348,724,98,142,-223
15-12-16.875,3168,2196,750,110,131,-229
15-12-16.886,3026,2106,793,123,116,-232
15-12-16.896,2992,2071,794,134,103,-233
15-12-16.906,3576,2143,724,146,90,-230
15-12-16.916,3809,2151,749,157,76,-229
15-12-16.926,3830,1995,849,167,60,-231
15-12-16.936,3411,1813,896,176,43,-224
15-12-16.946,3241,1610,933,184,26,-221
15-12-16.955,3261,1488,943,193,11,-219
15-12-16.966,3027,1443,994,199,-3,-216
15-12-16.976,2919,1435,1051,205,-18,-207
15-12-16.986,2692,1413,1164,209,-31,-204
15-12-16.997,2240,1259,1340,215,-44,-196
15-12-17.007,1640,938,1417,218,-55,-188
15-12-17.017,1136,725,1553,220,-65,-186
15-12-17.025,745,547,1712,220,-75,-182
15-12-17.037,603,403,1798,219,-83,-176
15-12-17.045,743,251,1766,217,-92,-173
15-12-17.055,754,77,1792,214,-98,-173
15-12-17.067,660,-104,1773,211,-106,-169
15-12-17.075,548,-218,1772,206,-114,-167
15-12-17.087,396,-322,1880,203,-121,-168
15-12-17.097,191,-465,1939,197,-129,-168
15-12-17.105,275,-646,1634,190,-134,-168
15-12-17.117,367,-847,1225,184,-140,-168
15-12-17.127,434,-973,879,177,-145,-174
15-12-17.135,351,-1169,638,173,-149,-175
15-12-17.147,212,-1349,475,168,-152,-181
15-12-17.155,110,-1525,314,160,-153,-183
15-12-17.167,-106,-1640,138,156,-155,-185
15-12-17.177,-620,-1662,-28,150,-156,-189
15-12-17.185,-1126,-1746,-119,143,-155,-193
15-12-17.197,-1663,-1880,-223,138,-151,-205
15-12-17.207,-1909,-2049,-362,131,-145,-213
15-12-17.215,-1880,-2245,-405,123,-138,-223
15-12-17.225,-1721,-2457,-265,113,-131,-233
15-12-17.235,-1580,-2662,-38,102,-124,-239
15-12-17.247,-1729,-2834,124,91,-118,-247
15-12-17.255,-1940,-2892,150,75,-111,-256
15-12-17.267,-2138,-2925,97,69,-103,-264
15-12-17.277,-2433,-2892,-113,47,-96,-269
15-12-17.287,-2758,-2832,-432,32,-85,-277
15-12-17.297,-3104,-2699,-781,16,-72,-283
15-12-17.305,-3832,-2504,-1183,4,-58,-289
15-12-17.315,-4393,-2435,-1437,-7,-40,-293
15-12-17.327,-4434,-2389,-1526,-20,-21,-293
15-12-17.335,-4003,-2236,-1570,-35,-2,-291
15-12-17.347,-3485,-2008,-1543,-46,14,-286
15-12-17.357,-2861,-1856,-1444,-58,27,-282
15-12-17.365,-2532,-1761,-1324,-69,37,-276
15-12-17.374,-2595,-1656,-984,-80,46,-271
15-12-17.386,-2939,-1669,-596,-90,56,-266
15-12-17.395,-3344,-1677,-310,-99,68,-259
15-12-17.408,-3260,-1510,-163,-107,81,-251
15-12-17.416,-3060,-1290,-46,-116,93,-243
15-12-17.426,-2892,-1109,100,-121,105,-236
15-12-17.435,-2827,-949,276,-125,116,-228
15-12-17.444,-3004,-781,406,-127,127,-218
15-12-17.455,-2938,-632,484,-132,139,-212
15-12-17.464,-2804,-522,528,-132,149,-200
15-12-17.475,-2484,-369,562,-133,159,-192
15-12-17.486,-2262,-277,599,-132,169,-181
15-12-17.496,-2056,-183,632,-132,169,-181
15-12-17.506,-1882,-157,638,-131,176,-175
15-12-17.515,-1721,-175,688,-129,183,-164
15-12-17.525,-1473,-199,780,-129,190,-159
15-12-17.534,-1269,-171,909,-126,196,-155
15-12-17.546,-1182,-155,1080,-125,201,-147
15-12-17.556,-990,-138,1289,-120,206,-145
15-12-17.564,-582,-95,1465,-114,212,-139
15-12-17.576,-7,-89,1614,-110,217,-134
15-12-17.585,700,-52,1726,-103,221,-133
15-12-17.596,1308,55,1760,-97,224,-132
15-12-17.606,1778,196,1686,-89,225,-137
15-12-17.616,2058,359,1527,-81,225,-145
15-12-17.626,2043,574,1345,-72,223,-150
15-12-17.636,2129,830,1149,-64,219,-160
15-12-17.646,2540,1029,932,-58,216,-170
15-12-17.655,3218,1222,759,-51,211,-178
15-12-17.666,4170,1512,645,-42,203,-189
15-12-17.675,4829,1759,392,-33,191,-204
15-12-17.686,5280,1944,109,-23,175,-218
15-12-17.696,5330,1963,-185,-14,155,-230
15-12-17.706,5150,1854,-471,-4,133,-246
15-12-17.715,5566,1712,-665,4,110,-259
15-12-17.723,5350,1510,-722,12,85,-266
15-12-17.737,4838,1332,-655,21,58,-274
15-12-17.747,4688,1195,-544,26,35,-280
15-12-17.755,4664,1067,-420,35,12,-282
15-12-17.767,4914,1062,-312,42,-10,-282
15-12-17.774,4924,1089,-209,49,-34,-282
15-12-17.786,4520,1153,-176,57,-57,-277
15-12-17.796,3960,1244,-153,61,-78,-271
15-12-17.806,3684,1346,-162,70,-96,-266
15-12-17.816,3347,1382,-177,77,-112,-256
15-12-17.826,2625,1314,-216,85,-127,-248
15-12-17.837,1869,1210,-259,92,-137,-244
15-12-17.847,1017,1073,-285,97,-143,-240
15-12-17.855,424,937,-358,104,-147,-235
15-12-17.865,-47,837,-389,109,-148,-231
15-12-17.877,-595,789,-522,113,-147,-231
15-12-17.885,-1456,807,-627,117,-143,-234
15-12-17.897,-2880,867,-676,123,-136,-239
15-12-17.905,-4199,808,-599,128,-122,-249
15-12-17.915,-5530,795,-427,131,-103,-257
15-12-17.927,-6764,880,-234,134,-78,-271
15-12-17.935,-6896,921,-213,138,-48,-275
15-12-17.945,-6459,951,-236,142,-15,-279
15-12-17.957,-5851,961,-254,145,11,-277
15-12-17.965,-5363,959,-118,148,37,-271
15-12-17.977,-5466,845,133,150,61,-265
15-12-17.987,-5222,782,339,154,83,-251
15-12-17.995,-4328,838,450,157,101,-239
15-12-18.007,-2979,953,475,161,116,-224
15-12-18.015,-1125,1133,469,167,124,-213
15-12-18.025,62,1063,483,170,125,-205
15-12-18.035,717,823,515,176,123,-204
15-12-18.045,1119,600,515,180,119,-201
15-12-18.055,2081,528,540,182,112,-200
15-12-18.065,3835,683,506,189,102,-198
15-12-18.074,5304,881,429,192,84,-203
15-12-18.086,5835,1017,361,199,64,-205
15-12-18.096,5870,1084,252,204,41,-205
15-12-18.106,5507,1158,174,210,19,-201
15-12-18.115,5094,1272,149,217,0,-202
15-12-18.124,4741,1446,40,222,-17,-195
15-12-18.136,4488,1538,-86,222,-17,-195
15-12-18.146,3991,1623,-159,228,-32,-189
15-12-18.155,3554,1615,-226,232,-45,-178
15-12-18.167,3302,1483,-285,240,-56,-172
15-12-18.175,3716,1208,-337,245,-65,-160
15-12-18.186,3928,970,-288,249,-72,-149
15-12-18.196,3786,888,-28,253,-80,-140
15-12-18.205,3413,858,254,254,-88,-131
15-12-18.217,3129,791,543,257,-97,-116
15-12-18.225,2735,705,849,257,-105,-108
15-12-18.234,2274,595,1120,256,-113,-99
15-12-18.246,1796,496,1396,255,-121,-92
15-12-18.256,1514,332,1666,252,-129,-84
15-12-18.266,1285,161,1993,249,-137,-78
15-12-18.275,1342,-89,2234,244,-147,-75
15-12-18.283,1437,-342,2421,237,-157,-70
15-12-18.296,1311,-564,2602,229,-167,-67
15-12-18.306,1021,-779,2783,221,-177,-64
15-12-18.315,669,-953,2983,209,-189,-62
15-12-18.327,405,-1119,3200,198,-200,-62
15-12-18.334,15,-1319,3160,182,-211,-64
15-12-18.345,-417,-1567,2929,169,-220,-70
15-12-18.354,-715,-1906,2646,152,-227,-72
15-12-18.365,-1115,-2113,2400,139,-233,-84
15-12-18.377,-1459,-2327,2153,125,-237,-94
15-12-18.387,-1950,-2456,1863,111,-240,-104
15-12-18.394,-2656,-2585,1584,96,-240,-119
15-12-18.405,-2778,-2813,1370,83,-237,-133
15-12-18.413,-2732,-3124,1164,69,-233,-149
15-12-18.425,-2769,-3263,738,54,-227,-165
15-12-18.434,-3109,-3303,384,40,-221,-178
15-12-18.446,-3657,-3274,154,27,-212,-194
15-12-18.456,-4276,-3177,-99,14,-201,-206
15-12-18.466,-5105,-3033,-302,1,-187,-223
15-12-18.476,-5574,-2763,-551,-10,-168,-244
15-12-18.486,-5613,-2427,-768,-20,-147,-259
15-12-18.496,-5214,-1949,-816,-32,-125,-269
15-12-18.506,-4216,-1493,-591,-39,-102,-280
15-12-18.515,-2516,-959,-287,-45,-85,-279
15-12-18.526,-2062,-506,-111,-50,-74,-283
15-12-18.536,-2227,-121,135,-51,-64,-284
15-12-18.546,-2216,155,414,-51,-54,-286
15-12-18.556,-2321,318,680,-52,-43,-290
15-12-18.568,-2522,464,805,-51,-30,-292
15-12-18.576,-2428,575,871,-48,-18,-294
15-12-18.585,-2203,819,857,-45,-5,-295
15-12-18.597,-1781,535,909,-33,7,-297
15-12-18.607,-1344,37,1003,-41,15,-294
15-12-18.617,-679,-254,1164,-41,22,-289
15-12-18.625,-199,-119,1263,-41,26,-289
15-12-18.634,-99,134,925,-41,27,-289
15-12-18.645,-214,306,868,-38,29,-286
15-12-18.654,-330,505,807,-36,31,-288
15-12-18.666,-362,776,770,-32,34,-288
15-12-18.676,-414,917,723,-26,35,-289
15-12-18.685,-496,940,762,-21,39,-289
15-12-18.696,-533,986,873,-15,42,-291
15-12-18.705,-750,855,1034,-9,46,-290
15-12-18.716,-618,1025,1048,-4,51,-286
15-12-18.726,-355,1153,1025,1,54,-286
15-12-18.736,76,1070,843,7,55,-286
15-12-18.746,1012,1192,766,13,53,-283
15-12-18.755,2154,1302,660,23,46,-283
15-12-18.764,2660,1418,382,30,35,-285
15-12-18.776,2896,1377,219,30,35,-285
15-12-18.786,2364,1197,127,37,22,-285
15-12-18.796,1710,956,0,46,9,-287
15-12-18.805,1287,971,77,52,0,-289
15-12-18.815,897,970,137,57,-8,-289
15-12-18.825,809,1058,-27,63,-12,-288
15-12-18.834,556,1110,-248,69,-16,-286
15-12-18.846,-454,714,-108,76,-19,-288
15-12-18.856,-4,1173,-339,79,-18,-289
15-12-18.866,-181,1252,-456,85,-17,-288
15-12-18.875,-517,1211,-384,92,-16,-283
15-12-18.887,-483,1303,-354,99,-13,-284
15-12-18.895,-405,1288,-325,106,-10,-282
15-12-18.905,-447,1281,-223,112,-7,-281
15-12-18.916,-549,1262,-24,119,-5,-273
15-12-18.925,-353,1201,233,126,-2,-274
15-12-18.936,-69,1090,489,129,0,-270
15-12-18.946,90,771,558,136,0,-268
15-12-18.955,-77,522,399,139,-2,-262
15-12-18.967,-212,331,79,142,-2,-261
15-12-18.975,-88,111,-254,144,-1,-261
15-12-18.985,-33,-82,-342,143,-1,-256
15-12-18.994,-42,-287,-146,142,0,-259
15-12-19.006,25,-511,113,142,0,-259
15-12-19.016,-88,-851,335,139,0,-260
15-12-19.026,-171,-1045,534,133,0,-259
15-12-19.036,-205,-1369,489,129,-1,-260
15-12-19.046,100,-1334,426,123,-1,-263
15-12-19.055,219,-1356,536,115,-3,-263
15-12-19.065,4,-1427,677,108,-4,-265
15-12-19.075,-175,-1212,406,101,-5,-268
15-12-19.085,12,-672,-19,98,-6,-270
15-12-19.097,195,-210,-294,93,-6,-268
15-12-19.105,10,240,-417,92,-7,-268
15-12-19.117,-132,395,-484,94,-7,-269
15-12-19.127,-88,493,-615,98,-5,-270
15-12-19.135,-31,546,-719,100,-5,-265
15-12-19.147,49,530,-707,102,-4,-264
15-12-19.155,146,544,-708,106,-3,-262
15-12-19.165,117,548,-719,109,-3,-258
15-12-19.177,20,494,-688,110,-3,-257
15-12-19.185,-164,72,-787,112,-1,-257
15-12-19.195,-140,226,-746,113,0,-254
15-12-19.207,-281,139,-605,114,1,-253
15-12-19.215,-363,96,-404,114,2,-252
15-12-19.225,-427,94,-318,115,3,-250
15-12-19.237,-298,180,-331,114,5,-247
15-12-19.247,-172,218,-101,116,7,-243
15-12-19.255,-82,220,-72,117,7,-242
15-12-19.267,-195,136,-3,117,6,-237
15-12-19.275,-291,178,-24,119,6,-236
15-12-19.285,-339,139,60,117,5,-235
15-12-19.295,-309,320,21,120,5,-228
15-12-19.305,-335,357,-58,122,6,-228
15-12-19.315,-338,301,-140,123,6,-224
15-12-19.325,-395,188,-207,125,7,-221
15-12-19.335,-428,88,-193,124,6,-221
15-12-19.347,-445,15,-199,125,7,-216
15-12-19.355,-464,-10,-204,126,6,-212
15-12-19.367,-483,-11,-162,125,5,-210
15-12-19.377,-508,-52,-89,125,4,-209
15-12-19.385,-644,-71,-44,124,4,-205
15-12-19.395,-876,-102,43,125,4,-200
15-12-19.405,-1097,-292,39,125,4,-199
15-12-19.415,-1041,-276,-17,125,4,-199
15-12-19.427,-1008,-345,-400,124,4,-198
15-12-19.435,-779,-286,-127,123,4,-195
15-12-19.445,-633,-174,10,122,3,-195
15-12-19.457,-526,-118,234,122,2,-195
15-12-19.465,-465,-17,200,122,0,-193
15-12-19.475,-349,81,252,122,-3,-189
15-12-19.485,-202,258,331,122,-6,-192
15-12-19.495,-51,371,367,123,-10,-191
15-12-19.507,-54,388,314,126,-13,-189
15-12-19.517,-93,377,320,126,-18,-189
15-12-19.525,-163,306,274,128,-21,-191
15-12-19.537,-213,271,193,128,-26,-191
15-12-19.545,-160,103,177,129,-28,-189
15-12-19.555,-122,-61,242,129,-31,-192
15-12-19.565,-142,-173,332,129,-34,-195
15-12-19.575,-178,-126,409,128,-36,-195
15-12-19.587,-222,13,411,126,-37,-195
15-12-19.597,-236,102,337,125,-40,-198
15-12-19.605,-221,183,187,126,-41,-197
15-12-19.617,-200,200,84,125,-41,-200
15-12-19.625,-170,169,76,126,-42,-201
15-12-19.635,-158,97,-9,128,-42,-205
15-12-19.647,-216,86,-134,128,-42,-204
15-12-19.655,-148,188,-172,127,-43,-204
15-12-19.667,-112,230,-165,129,-41,-207
15-12-19.675,-98,227,-70,129,-41,-208
15-12-19.684,-78,125,46,131,-40,-211
15-12-19.696,-82,22,141,130,-40,-211
15-12-19.706,-146,-40,201,129,-40,-210
15-12-19.717,-174,-55,143,129,-39,-212
15-12-19.725,-204,22,96,129,-38,-217
15-12-19.735,-220,62,102,130,-37,-218
15-12-19.747,-137,91,138,130,-36,-219
15-12-19.755,-110,84,210,131,-35,-221
15-12-19.767,-91,60,235,130,-34,-223
15-12-19.777,-131,1837,104,135,-35,-221
15-12-19.785,1331,1215,138,142,-35,-220
15-12-19.795,993,969,580,145,-39,-213
15-12-19.805,649,622,556,148,-44,-213
15-12-19.815,200,38,514,148,-47,-212
15-12-19.825,31,-7,395,148,-50,-215
15-12-19.835,17,-7,277,147,-52,-214
15-12-19.847,10,0,126,147,-52,-211
15-12-19.855,0,6,0,146,-54,-216
15-12-19.865,0,1,-52,147,-53,-214
15-12-19.877,3,0,-66,147,-53,-214
15-12-19.885,3,0,-53,147,-52,-213
15-12-19.895,6,-3,-49,147,-53,-212
15-12-19.907,12,-2,-38,148,-52,-210
15-12-19.915,4,0,-49,148,-52,-212
15-12-19.927,-2,2,-11,148,-52,-213
15-12-19.937,-8,9,0,147,-52,-212
15-12-19.945,-7,4,-11,148,-52,-214
15-12-19.955,-13,6,-22,148,-52,-213
15-12-19.965,0,-1,-9,148,-52,-211
15-12-19.974,-7,8,-3,147,-52,-210
15-12-19.986,-1,2,4,146,-52,-211
15-12-19.996,0,2,3,148,-52,-211
15-12-20.006,0,0,0,148,-52,-211
15-12-20.015,3,1,0,149,-52,-210
15-12-20.024,0,-2,-1,147,-52,-211
15-12-20.036,0,5,1,148,-52,-212
15-12-20.046,-2,2,0,147,-52,-212
15-12-20.056,0,1,0,147,-52,-212
15-12-20.066,3,0,-3,148,-52,-211
15-12-20.075,4,-5,0,147,-52,-210
15-12-20.084,3,0,0,148,-52,-211
15-12-20.095,-5,5,0,147,-52,-213
15-12-20.104,-1,2,-2,148,-52,-213
15-12-20.116,0,4,-3,149,-52,-211
15-12-20.125,-1,-1,-1,148,-52,-212
15-12-20.134,4,-2,-2,149,-52,-215
15-12-20.146,-6,8,0,148,-52,-210
15-12-20.155,-3,2,0,148,-52,-210
15-12-20.164,-4,-1,-41,148,-51,-212
15-12-20.175,-16,-1,-270,151,-52,-214
15-12-20.184,-26,-1,-255,148,-52,-213
15-12-20.196,-12,1,-148,147,-51,-213
15-12-20.204,-30,37,23,148,-50,-213
15-12-20.216,0,3,6,148,-50,-213
15-12-20.225,-4,9,0,148,-51,-211
15-12-20.235,0,0,10,149,-50,-213
15-12-20.243,-5,6,7,148,-51,-212
15-12-20.256,-2,2,0,148,-50,-213
15-12-20.265,-3,7,2,149,-51,-212
15-12-20.275,-6,5,2,148,-50,-209
15-12-20.287,0,3,0,148,-50,-212
15-12-20.295,-6,8,0,148,-51,-213
15-12-20.304,0,4,-4,151,-51,-213
15-12-20.314,0,2,-15,149,-50,-211
15-12-20.325,-2,6,-26,150,-51,-211
15-12-20.337,-3,8,-16,148,-51,-210
15-12-20.347,-7,3,-24,148,-50,-210
15-12-20.355,-1,2,-25,150,-50,-211
15-12-20.365,-1,3,-24,148,-50,-210
15-12-20.376,0,1,-9,148,-50,-210
15-12-20.386,0,2,-2,149,-49,-213
15-12-20.395,-1,3,0,148,-50,-211
15-12-20.405,0,2,3,151,-50,-213
15-12-20.417,2,-4,0,148,-50,-212
15-12-20.427,0,5,-2,150,-50,-211
15-12-20.436,-3,3,-2,150,-50,-210
15-12-20.446,-5,1,0,149,-49,-212
15-12-20.456,-4,0,2,149,-50,-210
15-12-20.466,-1,5,3,149,-50,-212
15-12-20.476,-4,6,-2,150,-50,-209
15-12-20.486,-2,5,2,149,-50,-210
15-12-20.496,-2,0,1,149,-50,-213
15-12-20.506,-2,2,0,150,-49,-213
15-12-20.516,0,2,-2,149,-50,-213
15-12-20.526,-2,5,-2,150,-50,-213
15-12-20.536,0,-1,-2,149,-50,-209
15-12-20.546,-2,0,-5,149,-50,-214
15-12-20.556,-7,1,-30,151,-49,-212
15-12-20.566,-7,1,-141,148,-49,-210
15-12-20.576,-7,2,-102,149,-49,-210
15-12-20.586,12,-17,-11,150,-49,-212
15-12-20.596,-7,8,-18,149,-49,-211
15-12-20.606,-2,2,-88,149,-49,-210
15-12-20.616,-7,6,-101,149,-49,-212
15-12-20.628,-13,10,-134,149,-49,-210
15-12-20.636,-13,5,-132,148,-49,-210
15-12-20.648,-13,0,-130,151,-48,-211
15-12-20.656,-21,2,-155,151,-47,-210
15-12-20.666,-10,-4,-149,151,-46,-210
15-12-20.676,-7,-1,-80,151,-46,-210
15-12-20.686,4,-2,-52,150,-46,-209
15-12-20.696,3,-7,-33,152,-46,-211
15-12-20.706,0,-2,-6,152,-46,-211
15-12-20.716,-3,-6,-2,150,-46,-210
15-12-20.726,4,-8,0,151,-46,-210
15-12-20.736,6,-14,2,151,-47,-213
15-12-20.746,0,-16,0,150,-46,-211
15-12-20.756,-3,-12,0,150,-46,-210
15-12-20.766,-14,-9,3,150,-46,-210
15-12-20.776,-103,32,16,149,-45,-214
15-12-20.786,-266,-24,246,151,-46,-212
15-12-20.796,-591,-248,163,151,-46,-210
15-12-20.806,-474,-318,-4,150,-44,-213
15-12-20.816,-375,-174,-46,149,-44,-213
15-12-20.826,-253,-10,-1,148,-41,-215
15-12-20.836,-178,129,-16,148,-41,-213
15-12-20.845,-134,177,-66,148,-41,-212
15-12-20.853,-80,235,-186,149,-41,-211
15-12-20.864,-49,268,-191,149,-41,-210
15-12-20.876,42,275,-92,151,-40,-209
15-12-20.886,132,237,60,152,-41,-204
15-12-20.896,167,199,105,151,-42,-199
15-12-20.906,277,123,190,154,-44,-197
15-12-20.916,363,89,220,154,-44,-195
15-12-20.925,474,66,157,156,-46,-192
15-12-20.934,578,58,107,155,-47,-184
15-12-20.946,597,96,15,155,-47,-183
15-12-20.956,628,46,-13,157,-48,-180
15-12-20.966,559,41,-74,157,-46,-177
15-12-20.976,470,3,-185,158,-46,-174
15-12-20.986,418,-24,-261,160,-43,-171
15-12-20.996,370,-93,-338,160,-39,-170
15-12-21.005,350,-17,-475,162,-35,-166
15-12-21.015,297,-101,-364,162,-31,-166
15-12-21.024,156,-98,-196,162,-25,-163
15-12-21.036,110,-134,-105,163,-21,-166
15-12-21.046,250,-108,-60,164,-15,-166
15-12-21.056,325,15,-31,164,-11,-166
15-12-21.066,387,139,-94,163,-8,-166
15-12-21.076,390,155,-132,165,-5,-168
15-12-21.086,322,172,-143,167,0,-169
15-12-21.095,228,159,-73,167,2,-170
15-12-21.104,218,201,-53,168,6,-171
15-12-21.116,332,307,-77,170,9,-173
15-12-21.126,397,353,-94,170,10,-173
15-12-21.136,302,308,-109,172,12,-173
15-12-21.145,203,357,-164,173,15,-176
15-12-21.154,143,387,-149,176,17,-174
15-12-21.166,109,401,-116,177,20,-178
15-12-21.176,-40,337,-78,179,22,-181
15-12-21.186,-323,138,63,179,24,-181
15-12-21.196,-375,35,17,180,26,-182
15-12-21.206,-408,-80,-4,181,30,-184
15-12-21.215,-333,-193,18,181,32,-185
15-12-21.226,-203,-157,-32,180,34,-188
15-12-21.235,-149,-80,-111,179,35,-190
15-12-21.245,-63,-32,-172,179,38,-187
15-12-21.254,-21,-21,-155,180,38,-191
15-12-21.266,-57,-18,-34,181,40,-191
15-12-21.276,-37,8,62,180,41,-192
15-12-21.284,52,22,108,182,43,-191
15-12-21.296,15,38,63,182,43,-195
15-12-21.306,-98,58,-51,182,43,-192
15-12-21.316,-129,40,-81,182,44,-198
15-12-21.326,-118,-2,-47,182,46,-198
15-12-21.336,-24,-38,46,182,46,-200
15-12-21.344,61,-54,144,180,48,-196
15-12-21.356,143,-79,201,181,46,-199
15-12-21.365,194,-79,210,180,46,-200
15-12-21.374,153,-43,200,182,45,-200
15-12-21.386,77,-16,126,182,45,-200
15-12-21.396,17,8,80,181,45,-203
15-12-21.407,-48,45,76,182,45,-203
