Time,ID,AccRaw, AccRawY, AccRawZ,GyoRawX, GyoRawY, GyoRawZ,GyoCalibratedX, GyoCalibratedY, GyoCalibratedZ,Pitch, Roll, Yaw,Q(w), Q(x), Q(y), Q(z),Pressure
2018/3/12 23:10:29 54,0,29,-5,989,32,-33,27,10,-3,0,-1.72,-0.29,4.9,0.9989536,-0.001948745,-0.01515582,0.04310552,0
2018/3/12 23:10:29 54,0,30,-4,989,31,-28,22,9,0,-3,-1.72,-0.29,4.9,0.9989536,-0.001919116,-0.0151792,0.04310088,0
2018/3/12 23:10:29 54,0,29,-3,991,20,-28,19,0,0,-7,-1.72,-0.29,4.9,0.9989543,-0.001881653,-0.01517227,0.04308847,0
2018/3/12 23:10:29 55,0,29,-3,991,11,-31,22,-9,-1,-4,-1.72,-0.28,4.9,0.9989554,-0.001840214,-0.01514273,0.04307752,0
2018/3/12 23:10:29 55,0,30,-4,989,9,-28,24,-12,1,-2,-1.72,-0.28,4.9,0.9989551,-0.001858031,-0.01516771,0.04307306,0
2018/3/12 23:10:29 57,0,30,-5,990,19,-30,22,-2,0,-3,-1.72,-0.29,4.9,0.998955,-0.001886855,-0.01519051,0.04306715,0
2018/3/12 23:10:29 66,0,30,-5,990,19,-32,24,-1,-2,-2,-1.73,-0.29,4.9,0.9989547,-0.001927832,-0.01521408,0.04306233,0
2018/3/12 23:10:29 93,0,30,-6,990,17,-32,25,-3,-3,0,-1.73,-0.3,4.9,0.9989543,-0.001995815,-0.0152388,0.04306109,0
2018/3/12 23:10:29 94,0,30,-6,990,20,-35,26,0,-5,0,-1.73,-0.31,4.9,0.9989537,-0.00207525,-0.01526349,0.04306148,0
2018/3/12 23:10:29 104,0,30,-3,990,13,-35,25,-7,-6,-1,-1.73,-0.3,4.9,0.9989536,-0.002010465,-0.01528437,0.04305819,0
2018/3/12 23:10:29 132,0,28,-4,988,8,-30,22,-12,0,-3,-1.73,-0.3,4.9,0.9989544,-0.001991616,-0.01525486,0.04305131,0
2018/3/12 23:10:29 160,0,28,-4,988,13,-28,23,-7,0,-3,-1.72,-0.3,4.9,0.9989557,-0.001993859,-0.0151829,0.04304504,0
2018/3/12 23:10:29 175,0,28,-6,990,16,-30,23,-5,0,-3,-1.71,-0.31,4.9,0.9989569,-0.002086097,-0.01511147,0.04304096,0
2018/3/12 23:10:29 184,0,29,-4,990,18,-30,22,-3,0,-3,-1.71,-0.31,4.9,0.9989576,-0.002115363,-0.0150706,0.04303465,0
2018/3/12 23:10:29 218,0,29,-4,990,21,-32,25,0,-2,-1,-1.71,-0.31,4.9,0.9989581,-0.002088763,-0.01505522,0.04303023,0
2018/3/12 23:10:29 235,0,30,-4,990,23,-32,29,2,-3,3,-1.71,-0.31,4.9,0.9989579,-0.002060295,-0.01506912,0.04303386,0
2018/3/12 23:10:29 245,0,30,-4,990,23,-34,28,2,-4,2,-1.71,-0.3,4.9,0.9989572,-0.002032073,-0.01510474,0.04303809,0
2018/3/12 23:10:29 267,0,30,-4,990,25,-35,28,3,-5,2,-1.72,-0.3,4.9,0.9989565,-0.002005386,-0.0151413,0.04304178,0
2018/3/12 23:10:29 288,0,30,-4,990,22,-29,25,0,0,-1,-1.72,-0.3,4.9,0.9989563,-0.001985354,-0.01516711,0.04304079,0
2018/3/12 23:10:29 299,0,30,-4,990,19,-29,22,-2,0,-3,-1.72,-0.3,4.9,0.9989562,-0.001970182,-0.01518665,0.04303507,0
2018/3/12 23:10:29 381,0,29,-4,990,12,-29,19,-9,0,-6,-1.72,-0.3,4.9,0.9989571,-0.001970329,-0.01515943,0.04302405,0
2018/3/12 23:10:29 381,0,29,-4,990,12,-30,22,-8,0,-4,-1.72,-0.3,4.9,0.9989579,-0.001971446,-0.01513413,0.0430143,0
2018/3/12 23:10:29 383,0,29,-5,989,19,-31,25,-2,-1,0,-1.72,-0.3,4.9,0.9989581,-0.002011386,-0.01511757,0.04301208,0
2018/3/12 23:10:29 389,0,30,-5,990,21,-32,28,0,-2,1,-1.72,-0.3,4.9,0.998958,-0.002042512,-0.01512678,0.0430138,0
2018/3/12 23:10:29 399,0,30,-5,990,23,-35,31,2,-6,4,-1.72,-0.31,4.9,0.9989571,-0.002063978,-0.0151613,0.04302079,0
2018/3/12 23:10:29 420,0,30,-5,990,17,-35,33,-3,-6,6,-1.72,-0.31,4.9,0.998956,-0.002090396,-0.01519537,0.04303234,0
2018/3/12 23:10:29 438,0,30,-4,988,15,-33,28,-6,-3,2,-1.73,-0.31,4.9,0.9989552,-0.002098841,-0.01522258,0.04303873,0
2018/3/12 23:10:29 457,0,30,-4,988,22,-32,28,1,-3,2,-1.73,-0.31,4.9,0.9989549,-0.002074939,-0.01524304,0.04304159,0
2018/3/12 23:10:29 479,0,30,-4,989,22,-35,32,1,-5,6,-1.73,-0.3,4.9,0.9989542,-0.002048206,-0.01526618,0.04305057,0
2018/3/12 23:10:29 505,0,30,-4,989,18,-32,28,-3,-2,2,-1.73,-0.3,4.9,0.9989536,-0.002028836,-0.01528276,0.04305675,0
2018/3/12 23:10:29 519,0,30,-5,989,20,-33,24,0,-3,-2,-1.74,-0.31,4.9,0.9989535,-0.002058138,-0.01530131,0.0430544,0
2018/3/12 23:10:29 539,0,29,-5,991,27,-35,26,6,-6,0,-1.74,-0.31,4.9,0.9989535,-0.002075746,-0.01529606,0.04305361,0
2018/3/12 23:10:29 559,0,29,-5,991,29,-31,27,8,-1,0,-1.73,-0.31,4.9,0.9989541,-0.002085424,-0.01525984,0.04305563,0
2018/3/12 23:10:29 580,0,29,-5,989,22,-33,26,1,-3,0,-1.73,-0.31,4.9,0.9989544,-0.002102836,-0.01523273,0.04305616,0
2018/3/12 23:10:29 600,0,29,-5,989,12,-35,26,-8,-5,0,-1.73,-0.31,4.9,0.9989546,-0.002133007,-0.01521242,0.04305637,0
2018/3/12 23:10:29 620,0,30,-5,990,13,-30,27,-7,0,0,-1.73,-0.32,4.9,0.9989541,-0.002163744,-0.01523578,0.04305764,0
2018/3/12 23:10:29 644,0,30,-4,990,13,-24,28,-7,5,2,-1.73,-0.32,4.9,0.9989538,-0.002165616,-0.01524534,0.04306051,0
2018/3/12 23:10:29 660,0,30,-4,990,18,-26,32,-3,3,5,-1.73,-0.32,4.9,0.9989536,-0.002138708,-0.01525134,0.04306706,0
2018/3/12 23:10:29 680,0,30,-5,990,22,-32,30,0,-2,3,-1.73,-0.32,4.9,0.9989529,-0.002155471,-0.01526857,0.04307455,0
2018/3/12 23:10:29 700,0,29,-5,991,21,-35,25,0,-6,-1,-1.73,-0.32,4.9,0.998953,-0.00217122,-0.01526624,0.04307415,0
