Time,ID,AccRawX, AccRawY, AccRawZ,GyoRawX, GyoRawY, GyoRawZ,MagRawX, MagRawY, MagRawZ,Pitch, Roll, Yaw,Test8F[0], Test8F[1], Test8F[2], Test8F[3], Test8F[4], Test8F[5], Test8F[6], Test8F[7]
16-11-41.518,7,881,381,64,244,-12,17,-346,-29,-361,65.62,-98.31,-174.1,0,0,-49.99643,0.01914644,1,0,40.21737,0.01593449
16-11-41.540,7,883,391,53,250,6,17,-343,-28,-361,65.65,-97.85,-174.2,0,0,-49.90271,0.01564749,1,0,40.28643,0.01593727
16-11-41.559,7,883,400,45,218,4,34,-343,-31,-363,65.7,-97.42,-174.2,0,0,-50.3514,0.01501747,1,0,40.52605,0.01594005
16-11-41.579,7,880,396,45,215,20,27,-340,-36,-364,65.77,-97.11,-174.3,0,0,-50.98092,0.007846192,1,0,40.0525,0.01594283
16-11-41.597,7,886,394,43,250,16,39,-342,-33,-363,65.82,-96.76,-174.5,0,0,-50.73078,0.00489209,1,0,40.19778,0.0159456
16-11-41.619,7,893,394,47,279,-6,33,-342,-34,-364,65.91,-96.24,-174.5,0,0,-50.98974,0.007028633,1,0,40.2029,0.01594838
16-11-41.637,7,891,395,43,264,9,31,-341,-34,-365,65.97,-95.68,-174.5,0,0,-51.15004,0.005897916,1,0,40.16276,0.01595116
16-11-41.658,7,886,388,42,256,7,28,-342,-31,-367,66.03,-95.24,-174.6,0,0,-50.91504,0.005911832,1,0,40.16515,0.01595394
16-11-41.680,7,874,385,39,177,49,42,-344,-35,-365,66.09,-94.9,-174.7,0,0,-51.45841,0.008727435,1,0,39.91882,0.01595672
16-11-41.700,7,872,398,27,-48,93,-20,-342,-28,-371,66.13,-95.11,-175,0,0,-50.71738,0.01245418,1,0,39.92757,0.0159595
16-11-41.720,7,891,412,29,-248,62,-149,-342,-30,-372,65.93,-95.71,-175.4,0,0,-50.76426,0.02320552,1,0,40.27393,0.01596228
16-11-41.740,7,900,412,31,-491,204,-221,-342,-34,-371,65.52,-96.84,-175.8,0,0,-50.8093,0.01963459,1,0,40.07125,0.01596506
