Time,ID,AccRawX, AccRawY, AccRawZ,GyoRawX, GyoRawY, GyoRawZ,MagRawX, MagRawY, MagRawZ,Pitch, Roll, Yaw,Test8F[0], Test8F[1], Test8F[2], Test8F[3], Test8F[4], Test8F[5], Test8F[6], Test8F[7]
16-10-58.523,7,-49,-157,-1006,-12,89,-44,243,123,-90,-1.38,8.98,-23.7,0,0,-52.9417,0.01676889,1,0,42.82895,0.01000773
16-10-58.544,7,-47,-154,-1006,-7,95,-46,242,118,-90,-1.18,8.95,-23.8,0,0,-53.10955,0.01843163,1,0,42.3917,0.0100105
16-10-58.562,7,-42,-154,-987,13,115,-49,239,120,-91,-0.96,8.96,-23.8,0,0,-52.94632,0.009495122,1,0,42.70998,0.01001328
16-10-58.584,7,-39,-154,-988,-18,151,-62,234,124,-86,-0.69,8.96,-23.9,0,0,-53.38293,0.01238645,1,0,42.38689,0.01001606
16-10-58.603,7,-43,-154,-991,-31,131,-30,234,120,-87,-0.42,8.91,-24,0,0,-53.31469,0.004125814,1,0,42.43625,0.01001884
16-10-58.623,7,-48,-154,-989,-15,75,1,234,121,-86,-0.23,8.85,-24,0,0,-53.09607,0.006065115,1,0,42.65598,0.01002161
16-10-58.644,7,-39,-169,-995,-36,106,-19,231,117,-86,-0.1,8.82,-24,0,0,-53.54676,0.006595232,1,0,42.44556,0.01002439
16-10-58.665,7,-7,-186,-1030,-86,231,-106,232,118,-82,0.25,8.69,-24.1,0,0,-53.30905,0.02999379,1,0,42.77726,0.01002717
16-10-58.683,7,-13,-182,-1044,-197,351,-113,227,112,-78,0.87,8.42,-24.2,0,0,-53.80077,0.04340523,1,0,42.63089,0.01002994
16-10-58.703,7,-22,-164,-1034,-277,332,-86,220,112,-72,1.6,7.93,-24.3,0,0,-53.98561,0.01771012,1,0,42.79552,0.01003272
16-10-58.725,7,-16,-151,-1011,-309,309,-21,221,110,-72,2.24,7.33,-24.3,0,0,-53.1758,0.02430324,1,0,42.75762,0.0100355
16-10-58.744,7,25,-128,-975,-233,336,-89,210,106,-67,2.84,6.77,-24.4,0,0,-53.94973,0.04024637,1,0,42.57341,0.01003828
16-10-58.763,7,41,-112,-959,-150,291,-101,207,108,-61,3.52,6.41,-24.5,0,0,-53.81712,0.05845773,1,0,43.14354,0.01004105
16-10-58.785,7,43,-103,-970,-97,276,-107,203,104,-62,4.08,6.15,-24.7,0,0,-53.70641,0.02621968,1,0,42.70599,0.01004383
16-10-58.805,7,36,-119,-1000,-93,183,-59,198,102,-62,4.55,5.97,-24.8,0,0,-53.7779,0.01735966,1,0,42.51315,0.01004661
16-10-58.823,7,73,-109,-1009,-135,315,-130,197,105,-60,5.05,5.72,-24.9,0,0,-53.25869,0.02995274,1,0,42.74149,0.01004939
16-10-58.845,7,98,-108,-998,-138,245,-174,189,103,-60,5.64,5.43,-25.2,0,0,-53.57244,0.03659274,1,0,42.43666,0.01005216
16-10-58.863,7,91,-76,-966,-165,282,-126,184,98,-58,6.19,5.08,-25.4,0,0,-53.79006,0.02685167,1,0,42.62665,0.01005494
16-10-58.884,7,117,-50,-909,-25,311,-167,182,99,-55,6.81,4.84,-25.7,0,0,-53.43958,0.05374978,1,0,42.26469,0.01005772
16-10-58.903,7,130,-64,-908,115,257,-212,178,101,-56,7.43,4.92,-26,0,0,-53.22504,0.05874348,1,0,41.97822,0.01006049
16-10-58.923,7,101,-90,-969,96,101,-137,175,97,-54,7.76,5.12,-26.4,0,0,-53.80286,0.03816529,1,0,42.27897,0.01006327
16-10-58.944,7,106,-88,-1007,28,200,-161,171,105,-52,8.08,5.19,-26.6,0,0,-53.70379,0.0629089,1,0,42.75758,0.01006466
16-10-58.963,7,134,-89,-997,19,201,-194,170,103,-48,8.55,5.19,-27,0,0,-53.76854,0.03058016,1,0,43.04177,0.01006883
16-10-58.983,7,120,-92,-992,43,69,-138,167,109,-51,8.82,5.2,-27.3,0,0,-53.29955,0.02120434,1,0,42.98412,0.0100716
16-10-59.003,7,111,-85,-993,64,154,-106,164,108,-56,9.02,5.28,-27.5,0,0,-53.15115,0.01545637,1,0,42.50987,0.01007438
16-10-59.023,7,138,-84,-997,56,162,-147,167,107,-50,9.36,5.37,-27.8,0,0,-53.20823,0.01348047,1,0,42.95699,0.01007716
16-10-59.044,7,135,-87,-1006,-3,95,-107,155,108,-52,9.66,5.38,-28,0,0,-53.88907,0.0180546,1,0,42.66644,0.01007993
16-10-59.063,7,128,-84,-986,-17,92,-50,153,109,-52,9.82,5.31,-28.2,0,0,-53.75208,0.01145935,1,0,42.75391,0.01008271
16-10-59.085,7,145,-78,-952,37,76,-45,153,112,-56,10,5.32,-28.2,0,0,-53.19326,0.0255037,1,0,42.60624,0.01008549
16-10-59.104,7,162,-80,-945,73,87,-67,156,108,-56,10.15,5.41,-28.3,0,0,-53.14785,0.03220652,1,0,42.21621,0.01008827
16-10-59.123,7,160,-90,-966,81,45,-54,149,111,-56,10.32,5.54,-28.5,0,0,-53.61945,0.0153796,1,0,42.28964,0.01009104
16-10-59.144,7,148,-104,-1002,36,20,-9,151,113,-51,10.39,5.66,-28.5,0,0,-53.67885,0.03060849,1,0,42.60571,0.01009382
16-10-59.164,7,174,-103,-1012,-16,110,-76,149,112,-52,10.5,5.65,-28.6,0,0,-53.73114,0.03289657,1,0,42.52851,0.0100966
16-10-59.184,7,195,-100,-987,0,141,-133,149,107,-57,10.79,5.59,-28.8,0,0,-53.44743,0.02625723,1,0,42.73834,0.01009937
16-10-59.204,7,179,-93,-957,61,153,-134,145,112,-57,11.12,5.61,-29,0,0,-53.33523,0.03092081,1,0,42.86606,0.01010215
16-10-59.225,7,141,-95,-979,20,-11,-38,145,116,-54,11.29,5.68,-29.2,0,0,-53.17865,0.03078487,1,0,42.71487,0.01010493
16-10-59.244,7,117,-104,-1010,-69,-89,57,146,115,-56,11.17,5.62,-29.2,0,0,-53.0298,0.04661973,1,0,41.84576,0.01010771
16-10-59.264,7,125,-115,-1015,-70,-260,131,147,110,-54,10.77,5.51,-29.1,0,0,-53.58115,0.03298981,1,0,42.45926,0.01011048
16-10-59.284,7,146,-113,-1000,-78,-196,127,153,112,-59,10.27,5.4,-28.8,0,0,-52.82982,0.01563739,1,0,42.40266,0.01011326
16-10-59.303,7,166,-110,-986,-78,-167,110,156,112,-56,9.89,5.29,-28.6,0,0,-52.99297,0.02712689,1,0,42.99444,0.01011604
16-10-59.325,7,165,-109,-984,-101,-160,111,158,109,-55,9.53,5.14,-28.4,0,0,-53.30567,0.01808183,1,0,42.4884,0.01011882
16-10-59.345,7,172,-104,-976,-91,-116,60,162,104,-55,9.25,4.97,-28.3,0,0,-53.27455,0.004975604,1,0,42.21253,0.01012159
16-10-59.365,7,173,-102,-961,-30,-97,31,161,105,-58,9.04,4.87,-28.2,0,0,-53.23188,0.0137638,1,0,42.20794,0.01012437
16-10-59.385,7,148,-96,-963,-18,-125,65,166,107,-52,8.82,4.86,-28.1,0,0,-53.18497,0.01519387,1,0,42.0134,0.01012715
16-10-59.403,7,117,-93,-990,-71,-159,115,168,113,-51,8.51,4.8,-28,0,0,-52.81335,0.0300318,1,0,42.69307,0.01012992
16-10-59.424,7,127,-87,-993,-77,-76,78,168,108,-52,8.25,4.66,-27.8,0,0,-53.15486,0.03249536,1,0,42.86119,0.0101327
16-10-59.446,7,157,-96,-976,-15,-86,27,169,102,-52,8.1,4.59,-27.7,0,0,-53.53308,0.02258104,1,0,42.94392,0.01013548
16-10-59.464,7,157,-108,-997,-95,-83,24,172,100,-52,7.91,4.49,-27.7,0,0,-53.49638,0.03004101,1,0,42.62791,0.01013826
16-10-59.483,7,145,-101,-1018,-176,-75,36,176,97,-48,7.77,4.21,-27.6,0,0,-53.55689,0.02454737,1,0,42.60504,0.01014103
16-10-59.505,7,136,-88,-1001,-138,-134,68,175,97,-44,7.54,3.9,-27.5,0,0,-53.86141,0.02306333,1,0,43.05566,0.01014381
16-10-59.524,7,149,-78,-973,-55,-126,25,176,96,-42,7.27,3.73,-27.4,0,0,-53.9824,0.02688048,1,0,43.30722,0.01014659
16-10-59.544,7,155,-73,-987,-99,-117,-9,178,95,-52,7.03,3.6,-27.4,0,0,-53.28444,0.02720597,1,0,42.48142,0.01014936
16-10-59.564,7,147,-58,-1009,-121,-102,-49,179,92,-49,6.82,3.35,-27.5,0,0,-53.58034,0.02165625,1,0,42.79715,0.01015214
16-10-59.584,7,119,-39,-1003,-58,-128,-24,180,91,-48,6.61,3.15,-27.6,0,0,-53.67974,0.02922553,1,0,42.55066,0.01015492
16-10-59.605,7,85,-33,-1010,-57,-141,26,179,92,-46,6.32,3.05,-27.6,0,0,-53.99225,0.03460799,1,0,42.65178,0.0101577
16-10-59.625,7,87,-30,-1032,-93,-82,2,180,92,-48,6.09,2.9,-27.6,0,0,-53.8447,0.0291903,1,0,42.67223,0.01016047
16-10-59.645,7,99,-27,-1032,-116,-62,-18,180,90,-51,5.94,2.68,-27.6,0,0,-53.61542,0.01862302,1,0,42.49575,0.01016325
16-10-59.665,7,101,-18,-1000,-92,-38,-45,178,86,-50,5.84,2.45,-27.7,0,0,-54.03463,0.01679003,1,0,42.45298,0.01016603
16-10-59.685,7,87,0,-958,-42,-67,-41,182,87,-45,5.75,2.31,-27.8,0,0,-54.00912,0.03315108,1,0,42.16033,0.0101688
16-10-59.705,7,52,15,-942,-8,-159,46,189,87,-41,5.52,2.26,-27.8,0,0,-53.87523,0.04938509,1,0,42.6129,0.01017158
16-10-59.724,7,34,8,-963,-27,-112,48,186,84,-48,5.2,2.24,-27.7,0,0,-53.96035,0.03618478,1,0,42.47309,0.01017436
16-10-59.744,7,70,-1,-992,-57,-6,-66,189,80,-52,5.09,2.13,-27.8,0,0,-53.75028,0.03137008,1,0,42.60512,0.01017714
16-10-59.764,7,71,-11,-1000,-57,-6,-49,186,81,-47,5.1,2.01,-27.9,0,0,-54.22189,0.04177311,1,0,42.45204,0.01017991
16-10-59.784,7,39,-12,-1001,-74,-28,-17,186,78,-45,5.05,1.87,-28,0,0,-54.45306,0.02012285,1,0,42.41631,0.0101813
16-10-59.804,7,24,-12,-998,-81,-25,10,188,83,-49,4.98,1.71,-28,0,0,-53.56662,0.02040503,1,0,42.48408,0.01018408
16-10-59.824,7,49,-7,-978,-60,-33,0,189,82,-43,4.91,1.56,-28,0,0,-53.975,0.01325714,1,0,42.90205,0.01018825
16-10-59.843,7,68,-14,-955,35,1,-43,185,83,-48,4.89,1.52,-28.1,0,0,-53.86892,0.03273927,1,0,42.44152,0.01019102
16-10-59.866,7,62,-28,-966,77,-24,-45,186,78,-39,4.84,1.65,-28.2,0,0,-54.88134,0.02526337,1,0,43.00553,0.0101938
16-10-59.885,7,53,-35,-993,21,39,-59,187,85,-48,4.87,1.74,-28.3,0,0,-53.69482,0.02461552,1,0,42.53267,0.01019658
16-10-59.904,7,42,-34,-1005,-14,31,-25,189,85,-50,4.95,1.74,-28.4,0,0,-53.35587,0.02482816,1,0,42.45746,0.01019935
16-10-59.924,7,42,-37,-1004,-23,31,6,182,81,-46,5,1.7,-28.4,0,0,-54.41537,0.01238657,1,0,42.46188,0.01020213
16-10-59.945,7,60,-44,-1003,0,36,-11,184,85,-44,5.05,1.67,-28.4,0,0,-54.09615,0.008040758,1,0,42.80497,0.01020491
16-10-59.963,7,63,-52,-1011,9,25,-13,185,82,-44,5.11,1.69,-28.5,0,0,-54.2191,0.01778064,1,0,42.72599,0.01020769
16-10-59.985,7,48,-39,-1019,-66,-26,62,183,76,-41,5.1,1.64,-28.4,0,0,-54.91163,0.01534977,1,0,42.675,0.01021046
16-11-00.006,7,59,-27,-999,-77,-58,89,188,79,-44,5,1.5,-28.3,0,0,-54.0446,0.01890494,1,0,42.32212,0.01021324
16-11-00.026,7,82,-17,-964,-33,-61,84,193,83,-50,4.86,1.4,-28.1,0,0,-53.00987,0.0350558,1,0,42.44099,0.01021602
16-11-00.045,7,96,-26,-956,30,-104,68,188,77,-42,4.7,1.41,-28,0,0,-54.42905,0.03619716,1,0,42.39645,0.01021879
16-11-00.063,7,108,-42,-974,78,-41,-11,189,79,-42,4.54,1.54,-27.9,0,0,-54.4415,0.02093205,1,0,42.45377,0.01022157
16-11-00.085,7,94,-40,-1005,19,58,-91,190,77,-44,4.55,1.64,-28,0,0,-54.4604,0.03021916,1,0,42.80412,0.01022435
16-11-00.103,7,39,-21,-1008,-71,108,-58,188,76,-43,4.75,1.56,-28.2,0,0,-54.51382,0.04166544,1,0,42.83404,0.01022713
16-11-00.124,7,0,-5,-969,-53,66,6,187,80,-46,4.96,1.42,-28.2,0,0,-53.90716,0.05691958,1,0,42.4929,0.0102299
16-11-00.145,7,4,-4,-930,41,41,27,183,76,-42,5.05,1.41,-28.2,0,0,-54.69381,0.05338102,1,0,42.98359,0.01023268
16-11-00.165,7,6,-11,-931,126,-33,58,184,78,-37,5.04,1.6,-28.1,0,0,-54.95345,0.02588763,1,0,42.49097,0.01023546
16-11-00.184,7,6,-8,-963,82,-5,72,190,80,-43,5,1.83,-28,0,0,-54.08353,0.01422523,1,0,43.12838,0.01023823
16-11-00.204,7,23,-4,-979,56,2,69,190,85,-49,4.96,1.96,-27.9,0,0,-53.44521,0.02778925,1,0,42.54541,0.01024101
16-11-00.226,7,34,-14,-956,136,41,67,189,88,-46,5.01,2.16,-27.8,0,0,-53.65241,0.02047822,1,0,42.88503,0.01024379
16-11-00.244,7,44,-30,-968,158,21,61,189,80,-47,5.04,2.47,-27.7,0,0,-54.35044,0.02455702,1,0,41.95966,0.01024657
16-11-00.264,7,54,-53,-1012,56,-9,73,188,82,-51,5.06,2.71,-27.5,0,0,-54.15617,0.03468044,1,0,42.21744,0.01024934
16-11-00.286,7,72,-45,-1023,-2,24,51,187,89,-48,5.04,2.75,-27.4,0,0,-54.00105,0.04431629,1,0,42.17958,0.01025212
16-11-00.304,7,98,-16,-977,69,103,-34,188,87,-50,5.14,2.8,-27.4,0,0,-53.88803,0.03231326,1,0,42.84009,0.0102549
16-11-00.324,7,114,11,-910,285,277,-153,182,90,-52,5.57,3.12,-27.6,0,0,-53.97136,0.07114846,1,0,42.24184,0.01025768
16-11-00.346,7,85,14,-898,403,245,-145,181,96,-51,6.12,3.82,-27.8,0,0,-53.8088,0.05876059,1,0,42.4268,0.01026045
16-11-00.366,7,22,8,-955,339,209,-23,178,100,-55,6.6,4.57,-28,0,0,-53.73436,0.04126643,1,0,42.80383,0.01026323
16-11-00.385,7,-11,-11,-1012,184,143,81,176,107,-56,6.91,5.1,-27.9,0,0,-53.5298,0.08337575,1,0,42.41366,0.01026601
16-11-00.406,7,-3,-17,-1006,147,342,119,176,107,-57,7.36,5.43,-27.7,0,0,-53.37863,0.05549625,1,0,42.58255,0.01026878
16-11-00.424,7,19,-24,-973,230,363,173,171,110,-60,8.06,5.85,-27.3,0,0,-53.19942,0.02203557,1,0,42.39584,0.01027156
16-11-00.445,7,97,-85,-971,329,446,99,165,105,-57,8.79,6.46,-27,0,0,-54.1814,0.05650258,1,0,42.764,0.01027434
16-11-00.465,7,205,-154,-1009,388,884,-214,155,112,-58,10.07,7.19,-26.9,0,0,-54.13397,0.1098688,1,0,42.74009,0.01027712
16-11-00.485,7,289,-217,-1050,271,964,-432,137,119,-60,12.09,7.83,-27.3,0,0,-54.18528,0.1341706,1,0,42.3063,0.01027989
16-11-00.504,7,343,-230,-1073,-12,1148,-563,123,126,-53,14.31,7.9,-28.1,0,0,-53.98578,0.1112983,1,0,42.47108,0.01028267
16-11-00.524,7,373,-207,-1001,39,1183,-592,115,128,-55,16.77,7.62,-29,0,0,-52.7297,0.04981031,1,0,42.89421,0.01028545
16-11-00.545,7,415,-199,-879,315,1125,-620,87,130,-58,19.27,7.69,-29.9,0,0,-53.27075,0.09421784,1,0,42.65378,0.01028822
16-11-00.565,7,462,-200,-827,601,1010,-698,70,135,-59,21.56,8.26,-31,0,0,-53.30511,0.1037244,1,0,42.45943,0.010291
16-11-00.584,7,477,-220,-895,615,1141,-832,46,143,-66,23.89,9.06,-32.2,0,0,-53.75021,0.05198595,1,0,42.75569,0.01029378
16-11-00.603,7,495,-227,-1023,189,1213,-938,26,145,-71,26.54,9.24,-33.8,0,0,-53.60475,0.0817893,1,0,43.05549,0.01029656
16-11-00.624,7,495,-197,-1037,-71,1139,-852,8,155,-70,29.15,8.5,-35.4,0,0,-52.54451,0.08799179,1,0,43.40466,0.01029933
16-11-00.645,7,497,-175,-873,130,1091,-776,-17,142,-74,31.6,7.8,-36.9,0,0,-53.78437,0.06113409,1,0,42.79787,0.01030211
16-11-00.665,7,566,-130,-725,261,1056,-854,-33,141,-78,33.95,7.36,-38.5,0,0,-53.5038,0.1428963,1,0,43.10186,0.01030489
16-11-00.687,7,558,-68,-685,313,578,-593,-47,144,-86,35.84,7.03,-40,0,0,-53.01513,0.1521801,1,0,42.66426,0.01030766
16-11-00.705,7,463,-51,-711,382,126,-159,-51,149,-92,36.59,7.26,-40.8,0,0,-52.47692,0.08233578,1,0,42.9735,0.01031044
16-11-00.725,7,467,-81,-766,277,-215,32,-52,155,-91,36.48,7.9,-41,0,0,-52.5823,0.07829848,1,0,43.03221,0.01031322
16-11-00.746,7,556,-122,-867,39,-248,29,-49,154,-88,35.95,8.2,-41,0,0,-53.00003,0.09588353,1,0,42.99035,0.010316
16-11-00.767,7,577,-146,-931,-147,-284,58,-48,153,-89,35.44,8.08,-41,0,0,-53.1549,0.135917,1,0,42.95862,0.01031877
16-11-00.786,7,555,-125,-870,-154,-192,42,-42,154,-82,34.91,7.75,-40.9,0,0,-52.88386,0.04858372,1,0,43.36126,0.01032016
16-11-00.806,7,549,-119,-789,38,-105,14,-41,152,-86,34.63,7.66,-40.9,0,0,-52.88993,0.0715849,1,0,42.87914,0.01032433
16-11-00.825,7,565,-118,-776,122,-66,-43,-41,153,-85,34.47,7.81,-41,0,0,-53.06367,0.0501577,1,0,43.10555,0.01032711
16-11-00.844,7,567,-120,-799,140,-64,-87,-39,156,-86,34.37,7.98,-41.1,0,0,-52.82015,0.01799549,1,0,43.17035,0.01032988
16-11-00.866,7,547,-118,-822,89,-98,-80,-38,153,-88,34.24,8.09,-41.4,0,0,-52.91848,0.02163016,1,0,42.81758,0.01033266
16-11-00.886,7,526,-113,-826,49,-119,-53,-40,155,-89,34.03,8.1,-41.6,0,0,-53.0535,0.02796192,1,0,42.89885,0.01033544
16-11-00.906,7,523,-115,-817,59,-41,-59,-41,157,-88,33.87,8.12,-41.7,0,0,-53.22397,0.01628226,1,0,43.12486,0.01033821
16-11-00.926,7,546,-117,-804,74,36,-134,-41,155,-89,33.89,8.13,-42,0,0,-53.27518,0.01524928,1,0,42.87688,0.01034099
16-11-00.944,7,548,-105,-794,123,111,-197,-37,158,-89,34.1,8.1,-42.4,0,0,-52.50445,0.02456581,1,0,42.95999,0.01034377
16-11-00.967,7,514,-97,-805,146,31,-124,-40,159,-90,34.3,8.18,-42.7,0,0,-52.61153,0.02108393,1,0,42.82003,0.01034516
16-11-00.983,7,513,-93,-825,88,-9,-109,-46,158,-91,34.33,8.27,-43,0,0,-53.31586,0.0326739,1,0,43.00491,0.01034793
16-11-01.007,7,520,-96,-838,49,-13,-120,-46,155,-93,34.35,8.23,-43.3,0,0,-53.36684,0.01849651,1,0,42.60889,0.0103521
16-11-01.027,7,494,-91,-851,19,-77,-45,-48,159,-94,34.28,8.17,-43.6,0,0,-53.20639,0.01447969,1,0,42.9171,0.01035488
16-11-01.047,7,492,-96,-859,-2,-117,2,-44,153,-90,34.04,8.14,-43.7,0,0,-53.58181,0.02568652,1,0,42.9537,0.01035765
16-11-01.067,7,546,-100,-838,18,11,-109,-46,155,-95,33.92,8.07,-43.8,0,0,-53.39266,0.02059428,1,0,42.94773,0.01036043
16-11-01.087,7,565,-94,-809,67,92,-184,-46,153,-93,34.1,7.95,-44.2,0,0,-53.45677,0.05127051,1,0,42.52987,0.01036321
16-11-01.105,7,512,-76,-808,75,78,-104,-51,154,-94,34.32,7.91,-44.5,0,0,-53.55314,0.03317677,1,0,42.66137,0.01036599
16-11-01.127,7,476,-74,-818,53,72,-17,-51,154,-97,34.45,7.98,-44.6,0,0,-53.41077,0.0475115,1,0,42.4833,0.01036876
16-11-01.143,7,478,-110,-805,111,63,100,-51,157,-97,34.59,8.17,-44.6,0,0,-53.33219,0.026509,1,0,42.6263,0.01037154
16-11-01.165,7,477,-121,-825,-19,208,159,-51,157,-97,34.63,8.64,-44.1,0,0,-53.64607,0.03995483,1,0,42.53143,0.01037432
16-11-01.186,7,513,-126,-870,-77,-21,234,-46,161,-94,34.75,8.73,-43.7,0,0,-52.97668,0.04935533,1,0,42.63614,0.0103771
16-11-01.206,7,509,-136,-799,163,155,355,-45,165,-97,34.77,9.3,-42.9,0,0,-52.84299,0.04043963,1,0,42.98143,0.01037987
16-11-01.225,7,588,-113,-755,70,388,186,-49,168,-96,35.23,10.05,-42.1,0,0,-53.30878,0.07288445,1,0,43.35083,0.01038265
16-11-01.246,7,667,-97,-774,42,418,-240,-54,160,-101,36.07,10.18,-41.9,0,0,-53.78594,0.08814096,1,0,42.8532,0.01038543
16-11-01.266,7,723,-124,-685,360,456,-526,-66,162,-105,37.05,10.06,-42.8,0,0,-53.87179,0.07542813,1,0,42.98948,0.0103882
16-11-01.285,7,624,-157,-658,355,258,-215,-70,164,-111,37.96,10.35,-43.6,0,0,-53.61889,0.1001341,1,0,42.83542,0.01039098
16-11-01.307,7,583,-180,-732,293,213,-156,-76,167,-114,38.42,10.82,-43.8,0,0,-53.86792,0.1072713,1,0,43.38091,0.01039376
16-11-01.326,7,696,-183,-950,-488,-538,-397,-69,171,-114,38.05,10.37,-44.7,0,0,-52.78667,0.08341218,1,0,42.81834,0.01039654
16-11-01.345,7,683,-209,-1034,-739,429,-461,-82,153,-108,38.7,8.29,-45.6,0,0,-53.89188,0.219121,1,0,42.78157,0.01039931
16-11-01.365,7,662,-151,-794,-376,-64,-450,-89,145,-105,39.12,6.54,-46.7,0,0,-53.94857,0.08685192,1,0,42.8767,0.01040209
16-11-01.386,7,649,-101,-704,-362,82,-431,-98,139,-98,39.17,5.06,-47.9,0,0,-54.4006,0.189943,1,0,42.49254,0.01040487
16-11-01.405,7,619,-88,-717,-147,131,-350,-96,136,-102,39.45,3.93,-48.9,0,0,-53.45753,0.0776107,1,0,42.75412,0.01040764
16-11-01.426,7,602,-65,-744,-105,277,-339,-100,138,-104,39.9,3.18,-49.7,0,0,-52.84523,0.04253906,1,0,42.51895,0.01041042
16-11-01.445,7,599,-33,-711,182,-24,-214,-103,134,-99,40.31,2.67,-50.5,0,0,-53.07631,0.03483555,1,0,42.43665,0.0104132
16-11-01.467,7,532,-13,-706,182,96,-102,-105,133,-104,40.37,2.87,-50.8,0,0,-53.31335,0.08034706,1,0,42.33929,0.01041598
16-11-01.486,7,577,-26,-745,191,142,-88,-105,133,-109,40.61,3.09,-51,0,0,-53.16184,0.05513933,1,0,42.45991,0.01041875
16-11-01.505,7,622,-39,-748,240,24,-109,-108,137,-112,40.77,3.35,-51.3,0,0,-52.98761,0.05613798,1,0,42.42558,0.01042153
16-11-01.526,7,659,-49,-730,173,192,11,-111,141,-108,40.98,3.67,-51.5,0,0,-53.22602,0.0431494,1,0,42.87369,0.01042431
16-11-01.544,7,623,-51,-736,86,371,166,-110,140,-114,41.53,4.14,-51.2,0,0,-53.13565,0.03044977,1,0,42.81419,0.01042708
16-11-01.567,7,578,-32,-755,41,672,232,-114,139,-117,42.46,4.68,-50.6,0,0,-53.41366,0.03723503,1,0,43.11402,0.01042986
16-11-01.586,7,558,-14,-754,22,689,190,-120,142,-125,44.01,5.32,-49.7,0,0,-53.10141,0.05305781,1,0,42.16957,0.01043264
16-11-01.605,7,654,0,-732,-52,533,142,-127,144,-128,45.05,5.65,-49.2,0,0,-53.2598,0.05189756,1,0,42.28416,0.01043542
16-11-01.626,7,677,-46,-718,24,499,124,-128,146,-128,46.12,6.03,-48.6,0,0,-52.90166,0.07688236,1,0,42.41914,0.01043819
16-11-01.645,7,726,-38,-699,47,311,31,-134,146,-128,46.86,6.37,-48.3,0,0,-53.34781,0.05142676,1,0,42.88792,0.01044097
16-11-01.665,7,740,-48,-681,15,371,43,-138,144,-133,47.5,6.58,-48.1,0,0,-53.52578,0.04592831,1,0,42.32261,0.01044375
16-11-01.686,7,707,-65,-663,-153,502,9,-138,144,-137,48.32,6.65,-47.9,0,0,-53.16142,0.0322876,1,0,42.43894,0.01044653
16-11-01.706,7,680,-37,-654,-320,560,-58,-145,140,-142,49.5,6.26,-47.7,0,0,-53.26205,0.03996871,1,0,41.87671,0.0104493
16-11-01.726,7,740,-5,-640,-282,187,-243,-149,145,-137,50.17,5.35,-48.2,0,0,-52.42605,0.03762595,1,0,42.76551,0.01045208
16-11-01.746,7,753,-28,-652,-305,-14,-312,-151,132,-140,50.41,4.08,-49,0,0,-52.92811,0.05456553,1,0,41.88111,0.01045486
16-11-01.765,7,749,-51,-654,-203,-31,-277,-153,126,-137,50.34,2.83,-50,0,0,-52.99761,0.02889517,1,0,41.77658,0.01045763
16-11-01.786,7,728,-71,-645,-50,-20,-117,-161,122,-134,50.33,2.1,-50.6,0,0,-53.63857,0.02717295,1,0,42.13197,0.01046041
16-11-01.808,7,729,-76,-633,26,45,165,-155,125,-135,50.33,2.15,-50.6,0,0,-52.86766,0.02595205,1,0,41.96377,0.01046319
16-11-01.826,7,748,-81,-610,-191,102,382,-152,132,-136,50.46,2.77,-49.6,0,0,-52.29087,0.02263268,1,0,42.2274,0.01046597
16-11-01.848,7,749,-54,-621,-253,45,182,-152,127,-136,50.56,3,-48.7,0,0,-52.83476,0.02463372,1,0,41.85036,0.01046874
16-11-01.867,7,778,-60,-631,-152,92,165,-152,128,-132,50.67,2.98,-48.2,0,0,-52.81923,0.03045729,1,0,42.1927,0.01047152
16-11-01.886,7,801,-46,-623,-196,109,175,-151,131,-133,50.87,3.1,-47.6,0,0,-52.31001,0.0267935,1,0,42.21131,0.0104743
16-11-01.908,7,790,-20,-614,-217,61,84,-152,126,-135,51.04,3.02,-47.1,0,0,-52.75322,0.02777061,1,0,41.94509,0.01047707
16-11-01.926,7,754,-4,-618,-134,50,2,-152,131,-130,51.12,2.75,-47.1,0,0,-52.20479,0.03187608,1,0,42.49619,0.01047985
16-11-01.947,7,729,-15,-607,-96,112,44,-155,123,-134,51.31,2.56,-47,0,0,-52.85259,0.03250075,1,0,42.38467,0.01048263
16-11-01.966,7,739,-47,-583,-189,226,202,-155,123,-133,51.63,2.62,-46.6,0,0,-52.83163,0.03202509,1,0,42.39755,0.01048541
16-11-01.985,7,750,-59,-583,-268,383,255,-156,128,-133,52.22,2.8,-45.8,0,0,-52.27067,0.03784641,1,0,41.96831,0.01048818
16-11-02.005,7,769,-34,-601,-238,450,228,-159,128,-132,53,2.98,-44.9,0,0,-52.31259,0.02401282,1,0,42.65361,0.01049096
16-11-02.026,7,808,-26,-591,-220,350,186,-157,122,-126,53.82,3.14,-44.2,0,0,-52.37839,0.0368406,1,0,42.48905,0.01049374
16-11-02.046,7,815,-74,-558,-370,438,229,-162,125,-136,54.56,3.21,-43.4,0,0,-52.24542,0.04382779,1,0,42.26505,0.01049651
16-11-02.066,7,810,-97,-541,-414,514,249,-165,122,-137,55.47,3.13,-42.4,0,0,-52.25315,0.05717685,1,0,42.23611,0.01049929
16-11-02.087,7,808,-33,-565,-122,671,249,-167,122,-141,56.69,3.47,-41.4,0,0,-51.97822,0.02366684,1,0,42.19154,0.01050207
16-11-02.107,7,809,14,-565,-17,731,209,-173,126,-148,58.05,4.23,-40.4,0,0,-51.90974,0.05778525,1,0,42.76508,0.01050485
